City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,sandanski,41.5667,23.2833,14.23,45,0,1.78,BG,1726965069
153,turaif,31.6725,38.6637,20.14,56,0,3.09,SA,1726965071
154,shingu,33.7333,135.9833,26.24,93,100,6.52,JP,1726965072
155,buka,40.8108,69.1986,15.81,49,17,2.01,UZ,1726965073
156,banda aceh,5.5577,95.3222,28.03,71,84,6.28,ID,1726965074
157,basco,20.4487,121.9702,28.87,76,100,6.71,PH,1726965076
158,saldanha,-33.0117,17.9442,16.03,66,59,5.48,ZA,1726965077
159,hotan,37.0997,79.9269,21.46,24,0,0.45,CN,1726965078
160,newnham,-41.3833,147.1333,14.53,54,75,8.75,AU,1726965079
161,tsiombe,-25.3,45.4833,21.04,95,55,2.68,MG,1726965081
162,queenstown,-31.8976,26.8753,4.63,90,18,1.23,ZA,1726965019
163,northam,51.0333,-4.2167,15.9,95,100,1.84,GB,1726965083
164,klyuchi,52.2667,79.1667,12.07,53,100,3.4,RU,1726965084
165,lihue,21.9789,-159.3672,27.77,71,40,7.2,US,1726965086
166,brookings,44.3114,-96.7984,18.43,57,0,7.2,US,1726964960
167,kristiansund,63.1115,7.732,8.4,76,100,2.57,NO,1726965088
168,nuuk,64.1835,-51.7216,9.34,49,0,6.17,GL,1726965090
169,dazhou,31.2159,107.5009,24.52,62,83,2.89,CN,1726965091
170,gadzhiyevo,69.2551,33.3362,4.97,68,90,10.72,RU,1726965094
171,balsas,-7.5325,-46.0356,28.67,32,41,1.85,BR,1726965095
172,kota kinabalu,5.9749,116.0724,26.99,78,20,1.54,MY,1726965096
173,al jawf,29.5,38.75,22.66,50,94,5.29,SA,1726965098
174,conception bay south,47.4999,-52.9981,10.31,92,100,7.1,CA,1726965099
175,pekanbaru,0.5333,101.45,26.18,89,100,0.0,ID,1726965100
176,klaksvik,62.2266,-6.589,9.38,88,100,5.8,FO,1726965103
177,nemuro,43.3236,145.575,13.66,70,100,6.43,JP,1726965104
178,greenville,35.6127,-77.3663,22.85,90,0,0.0,US,1726964940
179,kindu,-2.95,25.95,21.92,96,100,1.28,CD,1726965106
180,trenggalek,-8.05,111.7167,29.49,59,92,1.27,ID,1726965108
181,cockburn town,21.4612,-71.1419,28.98,84,40,2.06,TC,1726965109
182,mokhotlong,-29.2894,29.0675,1.24,85,66,1.78,LS,1726965110
183,phan rang-thap cham,11.5667,108.9833,26.91,82,100,1.9,VN,1726965112
184,ancud,-41.8697,-73.8203,7.37,86,32,7.4,CL,1726964881
185,capitan bado,-23.2667,-55.5333,26.43,47,51,2.77,PY,1726965114
186,tatarsk,55.219,75.9828,10.12,69,90,4.36,RU,1726965075
187,nueva gerona,21.8833,-82.8,27.76,75,100,1.99,CU,1726965117
188,mihalgazi,40.0262,30.5771,16.78,97,95,2.04,TR,1726965118
189,kirakira,-10.4544,161.9205,30.13,62,16,5.01,SB,1726965119
190,danilovka,50.3557,44.1168,13.58,57,2,3.42,RU,1726965121
191,bubaque,11.2833,-15.8333,26.68,83,100,3.91,GW,1726965122
192,yeppoon,-23.1333,150.7333,24.06,28,0,2.78,AU,1726965123
193,rongelap,11.1635,166.8941,28.41,73,96,3.57,MH,1726965124
194,tieli,46.95,128.05,11.43,55,0,1.36,CN,1726965126
